timestamp,dry_run,balance,rollover_source,window_start_utc,window_end_utc,symbol,ticket,position_volume,profit,swap,fee,net_profit,target_profit,closed,message
2026-04-10T19:31:47.394500+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:32:47.429959+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:33:47.478461+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:34:47.519608+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:35:47.550000+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:36:47.583855+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:37:47.615001+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:38:47.650697+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:39:47.678832+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
2026-04-10T19:40:47.714730+00:00,False,4229.98,env_manual_window,2026-04-10T22:30:00+00:00,2026-04-10T23:30:00+00:00,,,,,,,,,False,Skipped: outside fixed swap block window
